artist,bron_collectie,bron_listing_urls,detail_checked_at,detail_opmerking,detail_status,drager,ean,line_number,mogelijk_2e_hands,prijs,product_handle,reason,title,url,url_listing
,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps,2026-03-16 22:44:34,,ok,2LP,0887654369611,2,NEE,"39,95",a-ap-rocky-long-live-a-ap-deluxe-2lp,missing_artist_after_inference,A$Ap Rocky Long.Live.A$Ap (Deluxe),https://bobsvinyl.nl/products/a-ap-rocky-long-live-a-ap-deluxe-2lp,https://bobsvinyl.nl/products/a-ap-rocky-long-live-a-ap-deluxe-2lp
,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=7,2026-03-16 22:44:36,,ok,2LP,603497842391,16,NEE,"34,95",art-blakeys-jazz-messengers-with-thelonious-monk2lp,missing_artist_after_inference,Art Blakey's Jazz Messengers With Thelonious Monk,https://bobsvinyl.nl/products/art-blakeys-jazz-messengers-with-thelonious-monk2lp,https://bobsvinyl.nl/products/art-blakeys-jazz-messengers-with-thelonious-monk2lp
,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=9,2026-03-16 22:44:37,,ok,2LP,5014797906952,20,NEE,"16,95",bernard-butler-people-move-on-the-b-sides-1998-2021-rsd-2022-2lp,missing_artist_after_inference,"Bernard Butler People Move On: The B-Sides, 1998 + 2021 (RSD 2022)",https://bobsvinyl.nl/products/bernard-butler-people-move-on-the-b-sides-1998-2021-rsd-2022-2lp,https://bobsvinyl.nl/products/bernard-butler-people-move-on-the-b-sides-1998-2021-rsd-2022-2lp
,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=13,2026-03-16 22:44:38,,ok,LP,0602547276292,27,NEE,"29,95",bob-marley-the-wailers-confrontation-lp,missing_artist_after_inference,Bob Marley & the Wailers Confrontation,https://bobsvinyl.nl/products/bob-marley-the-wailers-confrontation-lp,https://bobsvinyl.nl/products/bob-marley-the-wailers-confrontation-lp
,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=13 | https://bobsvinyl.nl/collections/nieuwe-lps?page=13 | https://bobsvinyl.nl/collections/nieuwe-lps?page=14 | https://bobsvinyl.nl/collections/nieuwe-lps?page=13 | https://bobsvinyl.nl/collections/nieuwe-lps?page=14,2026-03-16 22:44:38,2e hands-vermelding gevonden; geen EAN zichtbaar,2e_hands_bevestigd,,,28,JA,"Vanaf10,00",bobs-vinyl-cadeaubon,detail_status_not_ok,Bob's Vinyl Cadeaubon,https://bobsvinyl.nl/products/bobs-vinyl-cadeaubon,https://bobsvinyl.nl/products/bobs-vinyl-cadeaubon
,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=14,2026-03-16 22:44:38,,ok,2LP,0602475227304,29,NEE,"42,95",boomtown-rats-the-first-50-years-songs-of-boomtown-glory-2lp,missing_artist_after_inference,Boomtown Rats The First 50 Years: Songs of Boomtown Glory,https://bobsvinyl.nl/products/boomtown-rats-the-first-50-years-songs-of-boomtown-glory-2lp,https://bobsvinyl.nl/products/boomtown-rats-the-first-50-years-songs-of-boomtown-glory-2lp
,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=15,2026-03-16 22:44:38,,ok,LP,196587791711,31,NEE,"31,95",britney-spears-circus-lp,missing_artist_after_inference,Britney Spears -Circus,https://bobsvinyl.nl/products/britney-spears-circus-lp,https://bobsvinyl.nl/products/britney-spears-circus-lp
,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=19 | https://bobsvinyl.nl/collections/nieuwe-lps?page=19 | https://bobsvinyl.nl/collections/nieuwe-lps?page=20 | https://bobsvinyl.nl/collections/nieuwe-lps?page=19 | https://bobsvinyl.nl/collections/nieuwe-lps?page=19 | https://bobsvinyl.nl/collections/nieuwe-lps?page=20 | https://bobsvinyl.nl/collections/nieuwe-lps?page=19 | https://bobsvinyl.nl/collections/nieuwe-lps?page=20 | https://bobsvinyl.nl/collections/nieuwe-lps?page=19 | https://bobsvinyl.nl/collections/nieuwe-lps?page=19 | https://bobsvinyl.nl/collections/nieuwe-lps?page=20 | https://bobsvinyl.nl/collections/nieuwe-lps?page=19 | https://bobsvinyl.nl/collections/nieuwe-lps?page=19 | https://bobsvinyl.nl/collections/nieuwe-lps?page=20 | https://bobsvinyl.nl/collections/nieuwe-lps?page=19 | https://bobsvinyl.nl/collections/nieuwe-lps?page=20,2026-03-17 15:45:20,"poging 3/3: valide productpagina, maar geen EAN gevonden",geen_ean_na_retries,LP,,36,NEE,"19,95",charlie-the-lesbians-fade-lp,detail_status_not_ok,Charlie & The Lesbians ‎– Fade,https://bobsvinyl.nl/products/charlie-the-lesbians-fade-lp,https://bobsvinyl.nl/products/charlie-the-lesbians-fade-lp
,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=21 | https://bobsvinyl.nl/collections/nieuwe-lps?page=21 | https://bobsvinyl.nl/collections/nieuwe-lps?page=22 | https://bobsvinyl.nl/collections/nieuwe-lps?page=21 | https://bobsvinyl.nl/collections/nieuwe-lps?page=21 | https://bobsvinyl.nl/collections/nieuwe-lps?page=22 | https://bobsvinyl.nl/collections/nieuwe-lps?page=21 | https://bobsvinyl.nl/collections/nieuwe-lps?page=22 | https://bobsvinyl.nl/collections/nieuwe-lps?page=21 | https://bobsvinyl.nl/collections/nieuwe-lps?page=21 | https://bobsvinyl.nl/collections/nieuwe-lps?page=22 | https://bobsvinyl.nl/collections/nieuwe-lps?page=21 | https://bobsvinyl.nl/collections/nieuwe-lps?page=21 | https://bobsvinyl.nl/collections/nieuwe-lps?page=22 | https://bobsvinyl.nl/collections/nieuwe-lps?page=21 | https://bobsvinyl.nl/collections/nieuwe-lps?page=22,2026-03-17 15:45:21,"poging 3/3: valide productpagina, maar geen EAN gevonden",geen_ean_na_retries,LP,,40,NEE,"19,95",colin-cowan-the-elastic-stars-fall-paths-lp,detail_status_not_ok,Colin Cowan & The Elastic Stars ‎– Fall Paths,https://bobsvinyl.nl/products/colin-cowan-the-elastic-stars-fall-paths-lp,https://bobsvinyl.nl/products/colin-cowan-the-elastic-stars-fall-paths-lp
,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=22,2026-03-16 22:44:40,,ok,2LP,4015698280760,41,NEE,"36,95",conrad-schnitzler-ken-montgomer-2lp,missing_artist_after_inference,Conrad Schnitzler & Ken Montgomer,https://bobsvinyl.nl/products/conrad-schnitzler-ken-montgomer-2lp,https://bobsvinyl.nl/products/conrad-schnitzler-ken-montgomer-2lp
,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=22,2026-03-17 15:45:21,"poging 3/3: valide productpagina, maar geen EAN gevonden",geen_ean_na_retries,LP,,42,NEE,"16,95",country-teasers-secret-weapon-revealed-at-last-or-full-moon-empty-sportsbag-lp,detail_status_not_ok,Country Teasers ‎– Secret Weapon Revealed At Last Or Full Moon Empty Sportsbag,https://bobsvinyl.nl/products/country-teasers-secret-weapon-revealed-at-last-or-full-moon-empty-sportsbag-lp,https://bobsvinyl.nl/products/country-teasers-secret-weapon-revealed-at-last-or-full-moon-empty-sportsbag-lp
,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=26 | https://bobsvinyl.nl/collections/nieuwe-lps?page=26 | https://bobsvinyl.nl/collections/nieuwe-lps?page=27 | https://bobsvinyl.nl/collections/nieuwe-lps?page=26 | https://bobsvinyl.nl/collections/nieuwe-lps?page=27,2026-03-16 22:44:43,,ok,"7"" Single",888072234499,55,NEE,"9,95",denzel-curry-robert-glasper-live-from-leimert-park-7-single,missing_artist_after_inference,Denzel Curry & Robert Glasper Live From Leimert Park,https://bobsvinyl.nl/products/denzel-curry-robert-glasper-live-from-leimert-park-7-single,https://bobsvinyl.nl/products/denzel-curry-robert-glasper-live-from-leimert-park-7-single
,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=30,2026-03-16 22:44:45,,ok,LP,602438089543,63,NEE,"28,95",duke-pearson-merry-ole-soul-blue-note-classic-lp,missing_artist_after_inference,Duke Pearson -Merry Ole Soul -Blue Note Classic-,https://bobsvinyl.nl/products/duke-pearson-merry-ole-soul-blue-note-classic-lp,https://bobsvinyl.nl/products/duke-pearson-merry-ole-soul-blue-note-classic-lp
